updated_at,selection_rank,ticker,company,sector,qualitative_status,event_theme_count,evidence_completed,evidence_pending,qualitative_themes,qualitative_use
2026/05/26 18:41,1,6762.T,TDK,電子部品,仮説のみ 3件・未加点,3,0,3,AIサーバー需要 / 為替・海外売上 / 電池・磁性材料,調査理由として使用。実績確認前は加点しない
2026/05/26 18:41,2,2802.T,味の素,食品,仮説のみ 3件・未加点,3,0,3,食品値上げ耐性 / ABF・ヘルスケア / 円安・原材料,調査理由として使用。実績確認前は加点しない
2026/05/26 18:41,3,8766.T,東京海上HD,保険,仮説のみ 3件・未加点,3,0,3,保険料率・金利 / 自然災害・損害率 / 政策保有株売却,調査理由として使用。実績確認前は加点しない
2026/05/26 18:41,4,8316.T,三井住友FG,銀行,仮説のみ 3件・未加点,3,0,3,日銀・金利 / 信用コスト / 海外金利・為替,調査理由として使用。実績確認前は加点しない
2026/05/26 18:41,5,8306.T,三菱UFJ FG,銀行,仮説のみ 3件・未加点,3,0,3,日銀・金利 / 海外金利・景気 / 株主還元,調査理由として使用。実績確認前は加点しない
2026/05/26 18:41,6,6367.T,ダイキン工業,空調,仮説のみ 3件・未加点,3,0,3,データセンター冷却 / 地域別空調需要 / 中国・為替,調査理由として使用。実績確認前は加点しない
2026/05/26 18:41,7,6503.T,三菱電機,総合電機,仮説のみ 3件・未加点,3,0,3,電力・データセンター / FA・設備投資 / 防衛・宇宙,調査理由として使用。実績確認前は加点しない
2026/05/26 18:41,8,5020.T,ENEOS HD,エネルギー,仮説のみ 3件・未加点,3,0,3,原油・精製マージン / 中東・海上輸送 / 脱炭素・構造転換,調査理由として使用。実績確認前は加点しない
2026/05/26 18:41,9,6146.T,ディスコ,半導体装置,仮説のみ 3件・未加点,3,0,3,AI半導体・HBM / 半導体設備投資 / 高PER・過熱,調査理由として使用。実績確認前は加点しない
2026/05/26 18:41,10,4385.T,メルカリ,ネット,仮説のみ 3件・未加点,3,0,3,国内消費 / FinTech・広告 / 規制・競争,調査理由として使用。実績確認前は加点しない
