priority,channel,ticker,name,lane,quantGate,universeScore,currentNumbers,action,decisionAfter,why,immediateUse
1,フィジカルAI,6762.T,TDK,候補化テスト,数値確認済み,66,既存スコア 66 / PER 26.7 / 1年騰落 105.9% / 60日最大下落 -20%,決算後反応、受注、テーマ寄与を確認し、既存総合候補と横並び比較,通過すればフィジカルAI枠の代表候補として残す。,既存100社スコアと主要指標は接続済みのため、次は事業寄与とイベント反応を確認する段階。,高
2,フィジカルAI,6954.T,ファナック,観察から昇格検討,観察,52,既存スコア 52 / PER 38.82 / 1年騰落 96.1% / 60日最大下落 -25.5%,不足している決算後反応、受注、事業寄与を確認,既存総合候補を上回る説明ができれば候補化。,数値は接続できたが、まだ購入候補へ進める根拠が足りないため。,高
3,フィジカルAI,6861.T,キーエンス,観察から昇格検討,観察,50,既存スコア 50 / PER 未取得 / 1年騰落 24.4% / 60日最大下落 -18.3%,不足している決算後反応、受注、事業寄与を確認,既存総合候補を上回る説明ができれば候補化。,数値は接続できたが、まだ購入候補へ進める根拠が足りないため。,高
4,フィジカルAI,6594.T,ニデック,観察から昇格検討,観察,50,既存スコア 50 / PER 未取得 / 1年騰落 -4.3% / 60日最大下落 -20.1%,不足している決算後反応、受注、事業寄与を確認,既存総合候補を上回る説明ができれば候補化。,数値は接続できたが、まだ購入候補へ進める根拠が足りないため。,高
5,フィジカルAI,6506.T,安川電機,データ補完,数値接続前,未接続,既存スコア 0 / PER 未取得 / 1年騰落 0% / 60日最大下落 0%,既存100社表に追加するため、PER/PBR/ROE、株価指標、決算成長、最大下落率を取得,接続できるまで購入候補にしない。,同じ数式・同じ列で比較できないため。,高
6,フィジカルAI,6645.T,オムロン,保留理由の解消,保留,54,既存スコア 54 / PER 38.7 / 1年騰落 40% / 60日最大下落 -22.7%,保留理由を分解し、過熱、下落、低スコア、リスク減点のどれが原因か確認,保留理由が解消しなければ観察または除外。,テーマ性があっても、下落耐性や割高度で落ちる可能性があるため。,中
7,フィジカルAI,6981.T,村田製作所,保留理由の解消,保留,58,既存スコア 58 / PER 41.64 / 1年騰落 223.7% / 60日最大下落 -19.3%,保留理由を分解し、過熱、下落、低スコア、リスク減点のどれが原因か確認,保留理由が解消しなければ観察または除外。,テーマ性があっても、下落耐性や割高度で落ちる可能性があるため。,中
8,フィジカルAI,6273.T,SMC,保留理由の解消,保留,36,既存スコア 36 / PER 23.84 / 1年騰落 17.7% / 60日最大下落 -23.7%,保留理由を分解し、過熱、下落、低スコア、リスク減点のどれが原因か確認,保留理由が解消しなければ観察または除外。,テーマ性があっても、下落耐性や割高度で落ちる可能性があるため。,中
9,フィジカルAI,6479.T,ミネベアミツミ,データ補完,数値接続前,未接続,既存スコア 0 / PER 未取得 / 1年騰落 0% / 60日最大下落 0%,既存100社表に追加するため、PER/PBR/ROE、株価指標、決算成長、最大下落率を取得,接続できるまで購入候補にしない。,同じ数式・同じ列で比較できないため。,中
10,フィジカルAI,6324.T,ハーモニック・ドライブ・システムズ,データ補完,数値接続前,未接続,既存スコア 0 / PER 未取得 / 1年騰落 0% / 60日最大下落 0%,既存100社表に追加するため、PER/PBR/ROE、株価指標、決算成長、最大下落率を取得,接続できるまで購入候補にしない。,同じ数式・同じ列で比較できないため。,中
81,量子コンピューター,6702.T,富士通,長期探索,観察,53,既存スコア 53 / PER 18.07 / 1年騰落 0.8% / 60日最大下落 -20.8%,公式IRで量子関連の商用化、受注、売上寄与を確認,量子単独では購入候補にしない。商用売上が確認できるまで観察枠。,1年NISAではテーマ性だけだと株価への説明力が弱い。,低
82,量子コンピューター,6701.T,NEC,長期探索,保留,48,既存スコア 48 / PER 未取得 / 1年騰落 14.4% / 60日最大下落 -15.8%,公式IRで量子関連の商用化、受注、売上寄与を確認,量子単独では購入候補にしない。商用売上が確認できるまで観察枠。,1年NISAではテーマ性だけだと株価への説明力が弱い。,低
83,量子コンピューター,9432.T,NTT,長期探索,保留,40,既存スコア 40 / PER 12.81 / 1年騰落 1% / 60日最大下落 -6.7%,公式IRで量子関連の商用化、受注、売上寄与を確認,量子単独では購入候補にしない。商用売上が確認できるまで観察枠。,1年NISAではテーマ性だけだと株価への説明力が弱い。,低
84,量子コンピューター,6501.T,日立製作所,長期探索,観察,53,既存スコア 53 / PER 26.81 / 1年騰落 32.8% / 60日最大下落 -14.6%,公式IRで量子関連の商用化、受注、売上寄与を確認,量子単独では購入候補にしない。商用売上が確認できるまで観察枠。,1年NISAではテーマ性だけだと株価への説明力が弱い。,低
85,量子コンピューター,6503.T,三菱電機,長期探索,観察,58,既存スコア 58 / PER 26.09 / 1年騰落 108.2% / 60日最大下落 -16.8%,公式IRで量子関連の商用化、受注、売上寄与を確認,量子単独では購入候補にしない。商用売上が確認できるまで観察枠。,1年NISAではテーマ性だけだと株価への説明力が弱い。,低
86,量子コンピューター,9613.T,NTTデータグループ,長期探索,数値接続前,未接続,既存スコア 0 / PER 未取得 / 1年騰落 0% / 60日最大下落 0%,公式IRで量子関連の商用化、受注、売上寄与を確認,量子単独では購入候補にしない。商用売上が確認できるまで観察枠。,1年NISAではテーマ性だけだと株価への説明力が弱い。,低
87,量子コンピューター,3687.T,フィックスターズ,長期探索,数値接続前,未接続,既存スコア 0 / PER 未取得 / 1年騰落 0% / 60日最大下落 0%,公式IRで量子関連の商用化、受注、売上寄与を確認,量子単独では購入候補にしない。商用売上が確認できるまで観察枠。,1年NISAではテーマ性だけだと株価への説明力が弱い。,低
88,量子コンピューター,4307.T,野村総合研究所,長期探索,数値接続前,未接続,既存スコア 0 / PER 未取得 / 1年騰落 0% / 60日最大下落 0%,公式IRで量子関連の商用化、受注、売上寄与を確認,量子単独では購入候補にしない。商用売上が確認できるまで観察枠。,1年NISAではテーマ性だけだと株価への説明力が弱い。,低
89,量子コンピューター,3626.T,TIS,長期探索,数値接続前,未接続,既存スコア 0 / PER 未取得 / 1年騰落 0% / 60日最大下落 0%,公式IRで量子関連の商用化、受注、売上寄与を確認,量子単独では購入候補にしない。商用売上が確認できるまで観察枠。,1年NISAではテーマ性だけだと株価への説明力が弱い。,低
90,量子コンピューター,4812.T,電通総研,長期探索,数値接続前,未接続,既存スコア 0 / PER 未取得 / 1年騰落 0% / 60日最大下落 0%,公式IRで量子関連の商用化、受注、売上寄与を確認,量子単独では購入候補にしない。商用売上が確認できるまで観察枠。,1年NISAではテーマ性だけだと株価への説明力が弱い。,低
