朝更新順位,旧順位,ticker,銘柄,業種,事前スコア,価格確認点,1年騰落率%,60日騰落率%,日経平均との差%,S&P500差%,1年最大下落%,過熱判定,朝更新スコア,現時点の扱い,判断理由,まだ必要な確認
1,1,8316.T,三井住友FG,銀行,82.9,71.2,62.05,-0.24,-9.46,34.34,-19.31,通常範囲,79.4,前面候補,事前スコア82.9点に、今朝の価格確認点71.2点を反映。金利・金融政策は、日銀政策金利、10年国債利回り、決算資料の利ざや、ROE、与信費用で確認する。,公式値照合 / 同業中央値比較
2,2,8766.T,東京海上HD,保険,78.3,59.2,20.51,10.99,-51,-7.2,-19.45,通常範囲,72.6,比較候補,事前スコア78.3点に、今朝の価格確認点59.2点を反映。金利・保険料率は、正味収入保険料、コンバインドレシオ、運用利回り、自然災害損害、ROEで確認する。,公式値照合 / 同業中央値比較
3,5,8058.T,三菱商事,商社,62.4,74.6,72.81,-2.46,1.3,45.1,-17.63,通常範囲,66.1,補完後に再確認,事前スコア62.4点に、今朝の価格確認点74.6点を反映。資源・商品価格 / 資本政策は、資源利益、非資源利益、ROE、配当、自社株買い、原油・金属価格前提で確認する。,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較
4,3,8306.T,三菱UFJ FG,銀行,64.6,69.2,51.96,1.98,-19.55,24.25,-16.87,通常範囲,66,補完後に再確認,事前スコア64.6点に、今朝の価格確認点69.2点を反映。金利・金融政策は、国内外利ざや、与信費用、PBR、ROE、株主還元、海外金利感応度で確認する。,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較
5,7,8031.T,三井物産,商社,60.1,75.6,78.92,-6.74,7.41,51.21,-20.06,通常範囲,64.8,補完後に再確認,事前スコア60.1点に、今朝の価格確認点75.6点を反映。資源・商品価格 / 非資源成長は、資源利益、非資源利益、ROE、還元方針、原油・鉄鉱石・LNG前提で確認する。,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較
6,4,7011.T,三菱重工,重工・防衛,62.6,54.8,16.53,-22.34,-54.98,-11.18,-26.74,通常範囲,60.3,保留寄り,1年騰落率16.53%、60日騰落率-22.34%で価格面が弱い。質的仮説より先に決算・受注・反応の確認が必要。,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較
7,10,8001.T,伊藤忠商事,商社,58.5,64,28.19,-13.27,-43.32,0.48,-15.64,通常範囲,60.1,補完後に再確認,事前スコア58.5点に、今朝の価格確認点64点を反映。非資源・資本政策は、非資源利益、ROE、株主還元、純利益進捗、セグメント別利益で確認する。,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較
8,6,6501.T,日立製作所,総合電機・IT,59.6,59.8,30.34,0.49,-41.17,2.63,-23.27,通常範囲,59.7,補完後に再確認,事前スコア59.6点に、今朝の価格確認点59.8点を反映。AIデータセンター投資 / 電力・インフラは、Lumada売上、エネルギー部門受注、営業利益率、海外比率、受注残で確認する。,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較
9,8,5802.T,住友電工,電線・通信,58.3,55,314.78,17.04,243.27,287.07,-22.87,過熱・データ確認,57.3,過熱確認を優先,1年騰落率が314.78%と極端に大きいため、価格点を上限処理。情報通信売上、環境エネルギー売上、受注、銅価格影響、営業利益率で利益成長が追いつくか確認。,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較
10,9,5801.T,古河電工,電線・通信,58,55,680.01,85.86,608.5,652.3,-19.48,過熱・データ確認,57.1,過熱確認を優先,1年騰落率が680.01%と極端に大きいため、価格点を上限処理。情報通信売上、電力インフラ売上、営業利益率、最大下落率、出来高急増で利益成長が追いつくか確認。,過熱・最大下落確認 / 同業中央値比較
