updated_at,file,kind,status,use_allowed,reason,replacement,last_modified,size_kb
2026/05/27 07:44,academic_validation_protocol_20260525.html,HTML,現行補助,台帳経由で使用可,モデル検証の考え方を整理した補助資料。,backtest_validation_20260525.html,2026/05/25 17:17,11
2026/05/27 07:44,backtest_validation_20260525.html,HTML,現行資料,顧客説明に使用可,過去検証・バックテストの初期接続ページ。,,2026/05/25 20:57,17
2026/05/27 07:44,candidate_10_broad_peer_reference_20260526.html,HTML,現行資料,顧客説明に使用可,厳密な同業比較が不足する候補について、近い業種まで広げた説明補助比較が可能かを確認するページ。スコアには混ぜない。,sector_adjustment_20260525.html,2026/05/26 22:41,8
2026/05/27 07:44,candidate_10_client_explanation_20260527.html,HTML,現行資料,顧客説明に使用可,候補10社を、数値根拠・質的材料・確認条件・外す条件に分けて説明するページ。投資実行判断ではない。,candidate_10_delivery_status_brief_20260526.html,2026/05/27 01:48,13
2026/05/27 07:44,candidate_10_company_memos_20260526.html,HTML,現行資料,顧客説明に使用可,候補10社について、数字根拠、質的仮説、確認条件、崩れる条件、次の確認条件を1社別に整理するページ。実行判断ではない。,candidate_10_tomorrow_brief_20260526.html,2026/05/26 23:02,25
2026/05/27 07:44,candidate_10_completion_closure_20260526.html,HTML,現行資料,顧客説明に使用可,候補10社について、今日処理できた項目と日付・データ待ちで残る項目を分ける完了状況ページ。実行判断ではない。,candidate_10_evidence_pack_20260526.html,2026/05/26 22:11,12
2026/05/27 07:44,candidate_10_completion_workbench_20260526.html,HTML,現行資料,顧客説明に使用可,10社に残る不足データを、埋める・待つ・仮説と実績を分ける作業単位へ分解するページ。購入判断ではない。,june_test_10_selection_board_20260526.html,2026/05/26 16:33,27
2026/05/27 07:44,candidate_10_current_data_connection_20260526.html,HTML,現行資料,顧客説明に使用可,候補10社について、既存CSVに入っているPER/PBR/ROE、成長率、決算後反応の接続状況を整理し、使える数値と残課題を分けた確認表。,candidate_10_official_source_queue_20260526.html,2026/05/26 19:34,12
2026/05/27 07:44,candidate_10_current_test_set_20260527.html,HTML,現行資料,顧客説明に使用可,統合判定後の10社を、優先確認、条件付き確認、補完・検算・比較に分けて整理するページ。投資実行判断ではない。,dual_axis_integrated_selection_20260527.html,2026/05/27 03:24,11
2026/05/27 07:44,candidate_10_delivery_hub_20260527.html,HTML,現行資料,顧客説明に使用可,候補10社の説明資料、6月カレンダー、判定ルールを顧客へ見せる順番でまとめた入口ページ。投資実行判断ではない。,candidate_10_client_explanation_20260527.html,2026/05/27 02:02,6
2026/05/27 07:44,candidate_10_delivery_status_brief_20260526.html,HTML,現行資料,顧客説明に使用可,候補10社の本日の到達点、未完了項目、明日の作業を整理するページ。投資実行判断ではない。,candidate_10_selection_completion_pack_20260526.html,2026/05/26 23:44,8
2026/05/27 07:44,candidate_10_disco_20d_reaction_update_20260526.html,HTML,現行資料,顧客説明に使用可,ディスコの20営業日反応をYahoo Finance chart APIの日次データで再取得したページ。検算後の採点接続候補であり、購入判断ではない。,candidate_10_reaction_due_reconstruction_20260526.html,2026/05/26 20:49,6
2026/05/27 07:44,candidate_10_event_evidence_dryrun_verification_20260526.html,HTML,現行補助,台帳経由で使用可,イベント実績層のCSV計算・S〜C判定を架空データで検算するページ。実績値ではない。,candidate_10_event_evidence_workbench_20260526.html,2026/05/26 17:03,15
2026/05/27 07:44,candidate_10_event_evidence_workbench_20260526.html,HTML,現行資料,顧客説明に使用可,10社の時流イベント仮説を、イベント日・株価反応・指数比較で検証する実績層の作業台。仮説だけでは加点しない。,candidate_10_completion_workbench_20260526.html,2026/05/26 16:51,29
2026/05/27 07:44,candidate_10_evidence_pack_20260526.html,HTML,現行資料,顧客説明に使用可,候補10社について、量的根拠、質的層、決算後反応、注意点を銘柄別カードで整理するページ。投資判断ではない。,candidate_10_tomorrow_finalization_queue_20260526.html,2026/05/26 22:11,18
2026/05/27 07:44,candidate_10_explanation_cards_20260526.html,HTML,現行資料,顧客説明に使用可,候補10社について、数値根拠、時流・イベント仮説、未完了項目、明日の確認作業を銘柄別に整理した説明カード。,candidate_10_rational_selection_board_20260526.html,2026/05/26 19:01,26
2026/05/27 07:44,candidate_10_input_cockpit_20260526.html,HTML,現行資料,顧客説明に使用可,明日入力する項目を銘柄別、作業別、必要項目別に整理した作業表。出典と基準日がそろうまで採点へ接続しない。,candidate_10_explanation_cards_20260526.html,2026/05/26 19:17,17
2026/05/27 07:44,candidate_10_input_template_validator_20260526.html,HTML,現行資料,顧客説明に使用可,候補10社の不足データをCSVで入力し、出典・基準日・必要値がそろっているかをブラウザ上で検証する画面。未入力値は採点へ接続しない。,candidate_10_input_cockpit_20260526.html,2026/05/26 19:17,61
2026/05/27 07:44,candidate_10_june_decision_calendar_20260527.html,HTML,現行資料,顧客説明に使用可,市場イベントと候補10社の決算後反応を同じ時系列で確認し、6月再判定に使うページ。投資実行判断ではない。,candidate_10_client_explanation_20260527.html,2026/05/27 01:54,10
2026/05/27 07:44,candidate_10_june_gate_rules_20260527.html,HTML,現行資料,顧客説明に使用可,6月の市場イベントと決算後反応を確認した後、残す・下げる・補完待ち・見送りを分ける条件表。投資実行判断ではない。,candidate_10_june_decision_calendar_20260527.html,2026/05/27 01:58,9
2026/05/27 07:44,candidate_10_missing_event_reaction_connect_20260526.html,HTML,現行資料,顧客説明に使用可,決算日未接続だった東京海上HDとダイキン工業について、公式決算日と株価反応を接続したページ。20営業日反応までは採点へ接続しない。,candidate_10_reaction_due_reconstruction_20260526.html,2026/05/26 20:57,6
2026/05/27 07:44,candidate_10_next_data_tasks_20260526.html,HTML,現行資料,顧客説明に使用可,候補10社について、次に確認するデータ、優先度、反映先を銘柄別に整理するページ。実行判断ではない。,candidate_10_company_memos_20260526.html,2026/05/26 23:30,11
2026/05/27 07:44,candidate_10_official_source_queue_20260526.html,HTML,現行資料,顧客説明に使用可,候補10社の公式IR取得先と、取得する数値、入力テンプレートへの接続先を整理した取得キュー。取得先の確認だけでは採点へ接続しない。,candidate_10_input_template_validator_20260526.html,2026/05/26 19:26,11
2026/05/27 07:44,candidate_10_per_estimate_bridge_20260526.html,HTML,現行資料,顧客説明に使用可,PER未取得銘柄について、公式EPSと既存株価から実績PER試算の可否を確認するページ。試算値は採点へ接続しない。,candidate_10_current_data_connection_20260526.html,2026/05/26 21:37,9
