monitor_id,theme,hypothesis_layer,evidence_layer,required_numbers,reject_condition,scoring_use,monitor_frequency
THEME-01,AI半導体投資,S,未接続,対象セグメント売上、受注高、受注残、営業利益率、会社コメント、SOX/NASDAQ/日経半導体株指数との相対株価,主要顧客の投資延期、在庫調整、輸出規制、利益率悪化、決算後20営業日で指数劣後,候補抽出と確認条件。単純加点しない。,週次確認
THEME-02,半導体工程の寡占・高シェア,S,未接続,工程別売上、WFE投資、受注残、顧客集中度、粗利率、PERが成長率で説明可能か,シェア根拠が確認できない、工程需要が数字に出ない、PER調整に耐えない,質的S候補。ただし公式数字と株価反応がそろうまで統合Sにしない。,週次確認
THEME-03,HBM・先端パッケージ,A,未接続,該当事業の売上成長、受注、利益率、顧客需要コメント、メモリ市況指標,メモリ投資鈍化、顧客在庫増、需要コメント悪化,候補抽出。量的評価B以下なら上限をB以下に抑える。,週次確認
THEME-04,データセンター電力不足,A,未接続,電力インフラ関連売上、受注残、データセンター向け比率、設備投資計画、電力需要統計,需要が一般設備投資に埋もれる、利益率が伸びない、受注残が増えない,時流候補抽出。受注・利益率確認が通過条件。,週次確認
THEME-05,データセンター冷却,A,未接続,データセンター向け売上、地域別利益、中国/欧米需要、会社コメント,データセンター寄与が小さい、空調全体の需要鈍化、中国需要悪化,質的Bから開始。数値接続でA化を検討。,週次確認
THEME-06,円安,B,一部接続可,海外売上比率、為替感応度、ドル円変化率、営業利益見通し、ヘッジ状況,円安でもコスト増が上回る、為替感応度が小さい、円高反転,マクロ感応度ゲート。単独では候補にしない。,月次確認
THEME-07,円高,B,一部接続可,輸入原価比率、為替感応度、原材料価格、価格転嫁状況,需要数量が落ちる、価格競争で利益に残らない、海外利益減が大きい,候補のリスク分岐と追い風分岐に使う。,月次確認
THEME-08,金利上昇,A,一部接続可,資金利益、信用コスト、保険引受利益、政策保有株売却、日銀後の株価反応,信用コスト増、景気悪化扱い、長期金利急低下、金融株が指数劣後,市場ゲートと候補別ゲートに使う。,週次確認
THEME-09,原油・ナフサ下落,B,未接続,ナフサ価格、原材料費率、売価維持率、在庫影響、営業利益率,売価下落が先行、需要減、在庫評価損、原材料データが取得できない,業界テーマ候補。データ取得できる範囲を明示して扱う。,月次確認
THEME-10,原油・中東リスク,B,一部接続可,油価、精製マージン、在庫影響、海運市況、会社の感応度,停戦、油価急落、精製マージン悪化、在庫評価損,イベント監視。短期反応が大きいため1年保有適性を別確認。,月次確認
THEME-11,食品値上げ耐性,B,一部接続可,価格要因/数量要因、原材料費、営業利益率、国内外セグメント成長,値上げ後の数量減、原材料再上昇、PERが成長率を上回りすぎる,守り寄り候補の確認条件に使う。,月次確認
THEME-12,防衛・安全保障,A,未接続,防衛関連受注、受注残、売上比率、利益率、政府予算,受注が利益に結びつかない、採算悪化、政策変更,テーマ抽出。政策だけでは加点せず、受注と利益率を必須確認。,週次確認
THEME-13,災害・インフラ強靭化,B,未接続,公共投資、受注、災害復旧関連売上、利益率、短期株価反応,一過性で利益貢献が小さい、資材高で利益率が悪化,社会インフラテーマ。倫理的配慮を含め、防災・復旧需要として整理。,月次確認
THEME-14,新商品・ゲーム機サイクル,A,未接続,販売計画、初動販売、ソフト装着率、利益率、在庫、会社予想,供給不足、販売計画未達、期待先行で決算反応が弱い,個別イベント候補。決算数字と初動販売確認が通過条件。,週次確認
THEME-15,TOB・M&A・大型提携,A,未接続,TOB価格、プレミアム、買収資金、EPS影響、同業比較、発表後リターン,買収条件不成立、希薄化、買収負担、材料出尽くし,通常のNISA 1年保有とは別枠で監視。発生後に個別検証。,週次確認
THEME-16,自社株買い・増配・資本効率,A,一部接続可,自社株買い規模、発行株比率、配当性向、ROE、PBR、FCF,一時的還元、業績悪化、FCF不足、還元後もROE改善しない,量的評価の質/還元項目へ接続可能。ただし発表だけでは加点しない。,週次確認
THEME-17,インバウンド・観光,B,一部接続可,訪日客数、客単価、稼働率、既存店売上、営業利益率,円高、旅行需要鈍化、コスト増、人手不足で利益が伸びない,景気・為替感応候補として抽出。営業利益率確認が必須。,月次確認
THEME-18,人手不足・省人化,A,未接続,受注、設備投資統計、営業利益率、地域別需要、在庫循環,設備投資減速、中国需要鈍化、在庫調整、PER調整,中期テーマ候補。景気循環とPERリスクを同時確認。,週次確認
THEME-19,医薬品承認・パイプライン,B,未接続,薬剤別売上、承認地域、ピークセールス、薬価、特許期限、研究開発費,臨床失敗、承認遅延、薬価改定、主力薬依存,個別イベントゲート。通常の景気循環と別に扱う。,月次確認
THEME-20,サイバーセキュリティ,B,未接続,セキュリティ売上、ARR、受注、利益率、顧客数,テーマは強いが企業別売上比率が小さい、競争激化、利益率低下,テーマ候補抽出。企業別売上比率確認まで主候補化しない。,月次確認
THEME-21,IPO・未上場メガイベント,B,未接続,上場有無、NISA対象可否、出資比率、取引関係、関連企業の売上寄与,未上場のまま、NISA対象外、関連企業の寄与が小さい、思惑だけで株価反応が続かない,特別枠。通常候補スコアには混ぜない。,月次確認
