section,title,status,watch,stop,next
event,6/10 米CPI,入力待ち,CPI、米10年金利、SOX、NASDAQ、ドル円,金利急騰、SOX急落、NASDAQ急落,結果入力後、半導体・AI枠を止めるか判定
event,6/15〜16 日銀,入力待ち,政策金利、声明文、ドル円、日本10年金利、日経/TOPIX,急な円高、75日線割れ、銀行・輸出株の悪化,金融・商社・輸出・半導体の扱いを再判定
event,6/16〜17 FOMC,入力待ち,政策金利、ドットプロット、FRB議長会見、米10年金利、VIX,金利急騰、VIX急騰、NASDAQ/SOX急落,攻め枠を入れるか、既存10社維持かを決める
event,6/18以降 一次再判定,実施予定,3イベントの色判定、候補別反応、指数差、出来高,赤イベントあり、または既存10社を上回る説明がない,入れ替え候補、保留候補、除外候補を記録
action,赤が1つ以上,攻め枠追加停止,半導体、フジクラ、TDKなどテーマ枠,既存10社維持、または個別株比率を下げる。,
action,黄が2つ以上,保留,全テーマ候補,翌営業日以降に反応を再確認。小比率でも急がない。,
action,赤なし・黄0〜1,候補別比較へ進む,アドバンテスト、ディスコ、日立、フジクラ、TDK,既存10社より指数差・下落耐性・事業寄与で上回るか確認。,
action,未確認データあり,採用しない,ファナック、キーエンス、安川電機、ニデック等,補完後候補に戻す。未取得データは点数に混ぜない。,
action,量子コンピューター,監視のみ,富士通、NECなど,6月NISA 1年テストには入れない。,
link,6月イベント判定エンジン,893_june_event_gate_engine_20260606.html,緑・黄・赤の市場ゲートを確認する,,
link,6月候補別アクション分岐表,894_june_candidate_action_after_gate_20260606.html,市場ゲート後に、銘柄ごとの扱いを見る,,
link,6月イベント後 実データ入力・入替記録,892_june_event_actual_input_and_replacement_log_20260606.html,イベント後の実数と入れ替え理由を記録する,,
link,6月テーマ候補 実行判定表,891_june_theme_execution_matrix_20260605.html,テーマ候補ごとの必要データと停止条件を見る,,
link,6月テーマ候補 統合ゲート,890_june_theme_integration_gate_20260605.html,既存10社とテーマ枠の関係を確認する,,
