updated_at,rank,ticker,name,channel,role,score,target_weight_pct,tags,reason,stop_condition
2026/06/13 19:08,1,8053.T,住友商事,総合候補,中心候補,9,18.75,商社/資源/円安/還元,商社・資源・株主還元の複数材料を持つ。イベント後は資源価格、為替、商社指数の反応を確認する。,資源価格急落、円高急進、決算で利益見通しが弱い場合は保留。
2026/06/13 19:08,2,8316.T,三井住友FG,総合候補,中心候補,9,18.75,銀行/金利/金融,金利上昇局面で利ざや改善が期待される一方、信用コストと日銀政策を確認する。,日銀後に銀行株全体が急落、または信用コスト懸念が強まる場合は保留。
2026/06/13 19:08,3,6501.T,日立製作所,データセンター・電力・冷却・電線,中心候補,9,18.75,AIインフラ/電力/データセンター/総合電機,AIインフラ・電力・デジタルの横断テーマを持つ。受注と利益率をイベント後に確認する。,大型株指数が弱く、同社が指数より弱い場合は保留。
2026/06/13 19:08,4,6503.T,三菱電機,総合候補,条件付き候補,7,6.25,FA/電力/防衛/総合電機,FA、電力、防衛の複数テーマ。景気感応度があるため指数反応を確認する。,FA関連や設備投資関連が弱い場合は小比率または保留。
2026/06/13 19:08,5,6857.T,アドバンテスト,半導体製造装置・材料,条件付き候補,7,6.25,半導体/高PER/高ボラ/AI,AI半導体の検査装置テーマ。SOX、NASDAQ、金利に強く反応しやすい。,米金利急騰、SOX急落、株価急騰後の反落リスクが強い場合は買わない。
2026/06/13 19:08,6,8035.T,東京エレクトロン,半導体製造装置・材料,条件付き候補,7,6.25,半導体/高PER/高ボラ/製造装置,半導体製造装置の代表候補。SOXと装置株全体の反応を確認する。,SOX/NASDAQが弱い、または高PER株売りが強い場合は保留。
2026/06/13 19:08,7,7011.T,三菱重工業,データセンター・電力・冷却・電線,条件付き候補,7,6.25,防衛/電力/エネルギー,防衛・電力・エネルギーの構造需要を持つ。直近の過熱と下落率を確認する。,短期過熱後の反落、受注材料の織り込み過多が見える場合は保留。
2026/06/13 19:08,8,6762.T,TDK,フィジカルAI,条件付き候補,7,6.25,電子部品/AI端末/電池/フィジカルAI,AI端末、電池、電子部品の複合テーマ。半導体ほど一方向ではないため反応確認を重視する。,電子部品株が指数より弱い、または為替悪化時は保留。
2026/06/13 19:08,9,6146.T,ディスコ,半導体製造装置・材料,条件付き候補,7,6.25,半導体/高PER/高ボラ/精密加工,半導体精密加工の構造優位候補。ただし値動きが大きく、イベント後確認が必須。,急騰後、出来高を伴わない上昇、SOX弱化時は保留。
2026/06/13 19:08,10,5803.T,フジクラ,データセンター・電力・冷却・電線,条件付き候補,7,6.25,電線/データセンター/高ボラ/AIインフラ,AIデータセンター・電線テーマの代表候補。テーマ性は強いが過熱確認が必要。,データセンター関連が反落、または短期過熱が強い場合は保留。
