updated_at,ticker,company_name,metric_group,score_field,score_component,calculated_value_for_score,validation_status,reflection_status,stop_reason,current_nisa_score,estimated_component_effect,reference_score_after_reflection,reflection_rule,source_url
2026/05/19 17:21,2802.T,味の素,sales,sales_growth_pct,growth_score,0,未入力,反映停止,正式値が未入力,66.7,0,66.7,前年比がプラスなら成長力の確認材料,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:21,2802.T,味の素,eps,eps_growth_pct,growth_score,0,未入力,反映停止,正式値が未入力,66.7,0,66.7,EPS成長は株主価値の確認材料,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:21,2802.T,味の素,dividend,dividend_yield_pct,shareholder_return_score,0,未入力,反映停止,正式値が未入力,66.7,0,66.7,配当利回りは株主還元の確認材料,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:21,2802.T,味の素,buyback,buyback_amount_million_yen,shareholder_return_score,0,未入力,反映停止,正式値が未入力,66.7,0,66.7,自社株買いは株主還元の確認材料,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:21,2802.T,味の素,forecast,forecast_revision_or_growth,growth_score,0,未入力,反映停止,正式値が未入力,66.7,0,66.7,会社予想の改善は決算期待値の確認材料,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:21,2802.T,味の素,operating_profit,operating_profit_growth_pct,growth_score,0,未入力,反映停止,正式値が未入力,66.7,0,66.7,営業利益の前年比が最重要の成長確認材料,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:21,2802.T,味の素,net_income,net_income_growth_pct,growth_score,0,未入力,反映停止,正式値が未入力,66.7,0,66.7,純利益成長は補助的な確認材料,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:21,6857.T,アドバンテスト,sales,sales_growth_pct,growth_score,0,未入力,反映停止,正式値が未入力,53.4,0,53.4,前年比がプラスなら成長力の確認材料,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:21,6857.T,アドバンテスト,eps,eps_growth_pct,growth_score,0,未入力,反映停止,正式値が未入力,53.4,0,53.4,EPS成長は株主価値の確認材料,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:21,6857.T,アドバンテスト,dividend,dividend_yield_pct,shareholder_return_score,0,未入力,反映停止,正式値が未入力,53.4,0,53.4,配当利回りは株主還元の確認材料,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:21,6857.T,アドバンテスト,buyback,buyback_amount_million_yen,shareholder_return_score,0,未入力,反映停止,正式値が未入力,53.4,0,53.4,自社株買いは株主還元の確認材料,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:21,6857.T,アドバンテスト,operating_profit,operating_profit_growth_pct,growth_score,0,未入力,反映停止,正式値が未入力,53.4,0,53.4,営業利益の前年比が最重要の成長確認材料,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:21,6857.T,アドバンテスト,forecast,forecast_revision_or_growth,growth_score,0,未入力,反映停止,正式値が未入力,53.4,0,53.4,会社予想の改善は決算期待値の確認材料,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:21,6857.T,アドバンテスト,net_income,net_income_growth_pct,growth_score,0,未入力,反映停止,正式値が未入力,53.4,0,53.4,純利益成長は補助的な確認材料,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:21,7974.T,任天堂,net_income,net_income_growth_pct,growth_score,0,未入力,反映停止,正式値が未入力,58.2,0,58.2,純利益成長は補助的な確認材料,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:21,7974.T,任天堂,sales,sales_growth_pct,growth_score,0,未入力,反映停止,正式値が未入力,58.2,0,58.2,前年比がプラスなら成長力の確認材料,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
